"commnty","cs_f_dt","avrg_d_"
"DOUGLAS","coronary heart disease",188.5
"DOUGLAS","diabetes-related",43
"DOUGLAS","injury, unintentional",35.8
"DOUGLAS","stroke (cerebrovascular disease)",61.5
"OAKLAND","coronary heart disease",142.4
"OAKLAND","diabetes-related",43.6
"OAKLAND","injury, unintentional",32.1
"OAKLAND","stroke (cerebrovascular disease)",38.3
"FULLER PARK","coronary heart disease",248.4
"FULLER PARK","diabetes-related",32.8
"FULLER PARK","injury, unintentional",57.7
"FULLER PARK","stroke (cerebrovascular disease)",87.7
"GRAND BOULEVARD","coronary heart disease",157.6
"GRAND BOULEVARD","diabetes-related",31.6
"GRAND BOULEVARD","injury, unintentional",42.9
"GRAND BOULEVARD","stroke (cerebrovascular disease)",49
"KENWOOD","coronary heart disease",110.2
"KENWOOD","diabetes-related",23.2
"KENWOOD","injury, unintentional",19.2
"KENWOOD","stroke (cerebrovascular disease)",30.2
"LINCOLN SQUARE","coronary heart disease",137.9
"LINCOLN SQUARE","diabetes-related",20.3
"LINCOLN SQUARE","injury, unintentional",23.9
"LINCOLN SQUARE","stroke (cerebrovascular disease)",30.6
"WASHINGTON PARK","coronary heart disease",184.2
"WASHINGTON PARK","diabetes-related",35
"WASHINGTON PARK","injury, unintentional",62.7
"WASHINGTON PARK","stroke (cerebrovascular disease)",61.2
"HYDE PARK","coronary heart disease",82.8
"HYDE PARK","diabetes-related",10.4
"HYDE PARK","injury, unintentional",17.4
"HYDE PARK","stroke (cerebrovascular disease)",28.5
"WOODLAWN","coronary heart disease",160.9
"WOODLAWN","diabetes-related",40.5
"WOODLAWN","injury, unintentional",40
"WOODLAWN","stroke (cerebrovascular disease)",53
"ROGERS PARK","coronary heart disease",204.6
"ROGERS PARK","diabetes-related",31.4
"ROGERS PARK","injury, unintentional",25.7
"ROGERS PARK","stroke (cerebrovascular disease)",32.3
"JEFFERSON PARK","coronary heart disease",146.4
"JEFFERSON PARK","diabetes-related",15.7
"JEFFERSON PARK","injury, unintentional",28.8
"JEFFERSON PARK","stroke (cerebrovascular disease)",37.5
"FOREST GLEN","coronary heart disease",103.2
"FOREST GLEN","diabetes-related",17
"FOREST GLEN","injury, unintentional",22.3
"FOREST GLEN","stroke (cerebrovascular disease)",30.1
"NORTH PARK","coronary heart disease",116.1
"NORTH PARK","diabetes-related",19.7
"NORTH PARK","injury, unintentional",18.1
"NORTH PARK","stroke (cerebrovascular disease)",24.5
"ALBANY PARK","coronary heart disease",131.1
"ALBANY PARK","diabetes-related",26.9
"ALBANY PARK","injury, unintentional",19.6
"ALBANY PARK","stroke (cerebrovascular disease)",37.3
"PORTAGE PARK","coronary heart disease",155.9
"PORTAGE PARK","diabetes-related",16.9
"PORTAGE PARK","injury, unintentional",27.4
"PORTAGE PARK","stroke (cerebrovascular disease)",35.3
"IRVING PARK","coronary heart disease",147.9
"IRVING PARK","diabetes-related",23.8
"IRVING PARK","injury, unintentional",27.1
"IRVING PARK","stroke (cerebrovascular disease)",39.2
"DUNNING","coronary heart disease",131
"DUNNING","diabetes-related",14.4
"DUNNING","injury, unintentional",31.8
"DUNNING","stroke (cerebrovascular disease)",31.5
"BELMONT CRAGIN","coronary heart disease",162.1
"BELMONT CRAGIN","diabetes-related",24.5
"BELMONT CRAGIN","injury, unintentional",26.5
"BELMONT CRAGIN","stroke (cerebrovascular disease)",34.9
"WEST RIDGE","coronary heart disease",136.3
"WEST RIDGE","diabetes-related",24.5
"WEST RIDGE","injury, unintentional",21.1
"WEST RIDGE","stroke (cerebrovascular disease)",34.3
"HERMOSA","coronary heart disease",133
"HERMOSA","diabetes-related",21.8
"HERMOSA","injury, unintentional",24.6
"HERMOSA","stroke (cerebrovascular disease)",30.1
"AVONDALE","coronary heart disease",160.3
"AVONDALE","diabetes-related",23.8
"AVONDALE","injury, unintentional",27.1
"AVONDALE","stroke (cerebrovascular disease)",40.3
"LOGAN SQUARE","coronary heart disease",152.2
"LOGAN SQUARE","diabetes-related",34.7
"LOGAN SQUARE","injury, unintentional",26.5
"LOGAN SQUARE","stroke (cerebrovascular disease)",33.2
"HUMBOLDT PARK","coronary heart disease",159.8
"HUMBOLDT PARK","diabetes-related",40.3
"HUMBOLDT PARK","injury, unintentional",54.4
"HUMBOLDT PARK","stroke (cerebrovascular disease)",58.7
"WEST TOWN","coronary heart disease",161.6
"WEST TOWN","diabetes-related",45.2
"WEST TOWN","injury, unintentional",27.8
"WEST TOWN","stroke (cerebrovascular disease)",33.8
"AUSTIN","coronary heart disease",167.1
"AUSTIN","diabetes-related",35.2
"AUSTIN","injury, unintentional",46.4
"AUSTIN","stroke (cerebrovascular disease)",56.8
"WEST GARFIELD PARK","coronary heart disease",183.3
"WEST GARFIELD PARK","diabetes-related",37.6
"WEST GARFIELD PARK","injury, unintentional",77.5
"WEST GARFIELD PARK","stroke (cerebrovascular disease)",71
"EAST GARFIELD PARK","coronary heart disease",197.1
"EAST GARFIELD PARK","diabetes-related",37.6
"EAST GARFIELD PARK","injury, unintentional",50.4
"EAST GARFIELD PARK","stroke (cerebrovascular disease)",38.9
"NEAR WEST SIDE","coronary heart disease",138.3
"NEAR WEST SIDE","diabetes-related",19.7
"NEAR WEST SIDE","injury, unintentional",31.8
"NEAR WEST SIDE","stroke (cerebrovascular disease)",40.9
"NORTH LAWNDALE","coronary heart disease",135.7
"NORTH LAWNDALE","diabetes-related",38.4
"NORTH LAWNDALE","injury, unintentional",46.9
"NORTH LAWNDALE","stroke (cerebrovascular disease)",66.3
"UPTOWN","coronary heart disease",213.6
"UPTOWN","diabetes-related",37.1
"UPTOWN","injury, unintentional",26.1
"UPTOWN","stroke (cerebrovascular disease)",39.4
"SOUTH LAWNDALE","coronary heart disease",100.1
"SOUTH LAWNDALE","diabetes-related",31.3
"SOUTH LAWNDALE","injury, unintentional",19.7
"SOUTH LAWNDALE","stroke (cerebrovascular disease)",34.1
"LOWER WEST SIDE","coronary heart disease",117.6
"LOWER WEST SIDE","diabetes-related",23.4
"LOWER WEST SIDE","injury, unintentional",32.8
"LOWER WEST SIDE","stroke (cerebrovascular disease)",37.3
